tblUploadID,tblHaulID,tblSampleID,tblParamID,tblCodeID_Species,tblCodeID_Stage,ICES_MeasurementID,RecordType,HaulID,Species,ELSampleFlag,IndividualNumber,Length,DevScale,DevStage,Number,RaisingFactor,SpecIdentMethod,OilGlobulesFlag,OilGlobulesNumber,OilGlobulesDiam,PreservationMethod,Notes
14531,1609779,1817834,8966181,12105,4458,8966181,EM,2026SE101,Clupea harengus,LV,,25,,,3,1,,,,,,
14531,1609779,1817835,8966182,12105,4458,8966182,EM,2026SE101,Clupea harengus,LV,,26,,,1,1,,,,,,
14531,1609779,1817836,8966183,12105,4458,8966183,EM,2026SE101,Clupea harengus,LV,,27,,,1,1,,,,,,
14531,1609779,1817837,8966184,12105,4458,8966184,EM,2026SE101,Clupea harengus,LV,,24,,,1,1,,,,,,
14531,1609780,1817838,8966185,12105,4458,8966185,EM,2026SE102,Clupea harengus,LV,,22,,,1,1,,,,,,
14531,1609782,1817839,8966189,12105,4458,8966189,EM,2026SE104,Clupea harengus,LV,,25,,,3,1,,,,,,
14531,1609830,1817840,8966175,12105,4458,8966175,EM,2026SE152,Clupea harengus,LV,,28,,,1,1,,,,,,
14531,1609831,1817841,8966177,12105,4458,8966177,EM,2026SE153,Clupea harengus,LV,,18,,,1,1,,,,,,
14531,1609834,1817842,8966178,12105,4458,8966178,EM,2026SE156,Clupea harengus,LV,,26,,,1,1,,,,,,
14531,1609834,1817843,8966179,12105,4458,8966179,EM,2026SE156,Clupea harengus,LV,,29,,,1,1,,,,,,
14531,1609825,1817844,8966168,12105,4458,8966168,EM,2026SE147,Clupea harengus,LV,,30,,,1,1,,,,,,
14531,1609825,1817845,8966169,12105,4458,8966169,EM,2026SE147,Clupea harengus,LV,,29,,,1,1,,,,,,
14531,1609827,1817846,8966171,12105,4458,8966171,EM,2026SE149,Clupea harengus,LV,,26,,,2,1,,,,,,
14531,1609827,1817847,8966172,12105,4458,8966172,EM,2026SE149,Clupea harengus,LV,,15,,,1,1,,,,,,
14531,1609828,1817848,8966173,12105,4458,8966173,EM,2026SE150,Clupea harengus,LV,,23,,,1,1,,,,,,
14531,1609829,1817849,8966174,12105,4458,8966174,EM,2026SE151,Clupea harengus,LV,,24,,,1,1,,,,,,
14531,1609823,1817850,8966162,12105,4458,8966162,EM,2026SE145,Clupea harengus,LV,,25,,,1,1,,,,,,
14531,1609823,1817851,8966163,12105,4458,8966163,EM,2026SE145,Clupea harengus,LV,,27,,,1,1,,,,,,
14531,1609824,1817852,8966164,12105,4458,8966164,EM,2026SE146,Clupea harengus,LV,,16,,,1,1,,,,,,
14531,1609824,1817853,8966165,12105,4458,8966165,EM,2026SE146,Clupea harengus,LV,,20,,,1,1,,,,,,
14531,1609825,1817854,8966166,12105,4458,8966166,EM,2026SE147,Clupea harengus,LV,,23,,,1,1,,,,,,
14531,1609825,1817855,8966167,12105,4458,8966167,EM,2026SE147,Clupea harengus,LV,,26,,,2,1,,,,,,
14531,1609815,1817856,8966151,12105,4458,8966151,EM,2026SE137,Clupea harengus,LV,,20,,,1,1,,,,,,
14531,1609815,1817857,8966152,12105,4458,8966152,EM,2026SE137,Clupea harengus,LV,,15,,,1,1,,,,,,
14531,1609815,1817858,8966153,12105,4458,8966153,EM,2026SE137,Clupea harengus,LV,,21,,,1,1,,,,,,
