ID,DateTime,Latitude,Longitude,HaulLat,HaulLon,Stage,Species,Survey,Num. counted,Length,Volume Filter Internal,Volume Filter External,Haul Num.,Sample Num.,Country,Ship,tblCodeID_Stage,tblCodeID_Survey,tblCodeID_Species,Aperture,E/W,FlowMeter Int. Calibration,FlowMeter Revs Int.,FlowMeter Ext. Calibration,FlowMeter Revs Ext.,Water Depth,Max Sampling Depth,Haul Depth,Haul Duration,NoMeas,MeasYolk,TotMeas,Caught,CaugYolk,TotCaug,TotPerm2,AbSmall,AbMedium,AbLarge,AbYolk,Area-code,Period,Sampling Period,Temp max sampler depth,ICES Rec. Code,Agency/Person,Ship/Person,Cruise Number,Original SampleID,Station Number,Series Number,Wire Out,Meta,Primary Reference,Secondary Reference,Num. of Myomeres,Gear Submited,Gear,Net Opening,Wind Dir,Temperature at surface,Temperature at 20m,Temperature at 50m,Temperature at 100m,Sub factor,Salinity,Salinity at 20m,Bottom salinity,DayNight,Statrec,haulval,bycspecreccode,stdspecreccode,speedwater,winddir,windspeed,thermocline,thclinedepth,Gear count,Gear Type,CTD model,Mesh size,Flow meter type,Sub sample instruments,Haul distance,Gear efficiency,Identification,Preservation,Diameter oil globule,Oil globules present,Number oil globules,Notes,DateLastModified,AphiaID,TimeFlag,Institute,Campaign,MeshType,CodendMeshSize,HaulID,ELHaulFLAG,SampleID,netopeningArea,Clogging,FlowEfficiency,HaulDurationMinutes,HaulDurationSeconds,AngleOfWire,LengthOfWire,Flowmetertype,Flowmeterbrand,ELVolFLAG,SdepthMin,BottomTemperature,indiv_seq_no,EggOrLarvae,StageScaleReference,SubsamplingFactor,GearDeployment,tblSampleID
8966031,20-01-2026 00:25:00,57.41009000,11.61492000,,,LV,Clupea harengus,I4537,1,,,,1609787,1817963,SWEDEN,77SE,4458,12366,12105,,,3.33,8034,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,MRN2,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,2408,,,,,,,,,126417,,,,,,,,2026SE109,,,,,,,,,,,,,,,,,,1817963
8966032,20-01-2026 00:25:00,57.41009000,11.61492000,,,LV,Clupea harengus,I4537,1,,,,1609787,1817952,SWEDEN,77SE,4458,12366,12105,,,3.33,8034,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,MRN2,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,2408,,,,,,,,,126417,,,,,,,,2026SE109,,,,,,,,,,,,,,,,,,1817952
8966033,20-01-2026 00:25:00,57.41009000,11.61492000,,,LV,Clupea harengus,I4537,1,,,,1609787,1817953,SWEDEN,77SE,4458,12366,12105,,,3.33,8034,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,MRN2,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,2408,,,,,,,,,126417,,,,,,,,2026SE109,,,,,,,,,,,,,,,,,,1817953
8966034,20-01-2026 00:25:00,57.41009000,11.61492000,,,LV,Clupea harengus,I4537,1,,,,1609787,1817954,SWEDEN,77SE,4458,12366,12105,,,3.33,8034,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,MRN2,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,2408,,,,,,,,,126417,,,,,,,,2026SE109,,,,,,,,,,,,,,,,,,1817954
8966035,20-01-2026 00:25:00,57.41009000,11.61492000,,,LV,Clupea harengus,I4537,2,,,,1609787,1817955,SWEDEN,77SE,4458,12366,12105,,,3.33,8034,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,MRN2,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,2408,,,,,,,,,126417,,,,,,,,2026SE109,,,,,,,,,,,,,,,,,,1817955
8966036,20-01-2026 00:25:00,57.41009000,11.61492000,,,LV,Clupea harengus,I4537,1,,,,1609787,1817956,SWEDEN,77SE,4458,12366,12105,,,3.33,8034,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,MRN2,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,2408,,,,,,,,,126417,,,,,,,,2026SE109,,,,,,,,,,,,,,,,,,1817956
8966038,20-01-2026 02:28:00,57.34095000,11.28049000,,,LV,Clupea harengus,I4537,2,,,,1609788,1817957,SWEDEN,77SE,4458,12366,12105,,,3.33,6231,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,MRN2,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,2111,,,,,,,,,126417,,,,,,,,2026SE110,,,,,,,,,,,,,,,,,,1817957
8966039,20-01-2026 02:28:00,57.34095000,11.28049000,,,LV,Clupea harengus,I4537,1,,,,1609788,1817946,SWEDEN,77SE,4458,12366,12105,,,3.33,6231,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,MRN2,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,2111,,,,,,,,,126417,,,,,,,,2026SE110,,,,,,,,,,,,,,,,,,1817946
8966040,20-01-2026 02:28:00,57.34095000,11.28049000,,,LV,Clupea harengus,I4537,3,,,,1609788,1817947,SWEDEN,77SE,4458,12366,12105,,,3.33,6231,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,MRN2,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,2111,,,,,,,,,126417,,,,,,,,2026SE110,,,,,,,,,,,,,,,,,,1817947
8966041,20-01-2026 02:28:00,57.34095000,11.28049000,,,LV,Clupea harengus,I4537,1,,,,1609788,1817948,SWEDEN,77SE,4458,12366,12105,,,3.33,6231,,,,,,,,,,,,,,,,,,,,,,,,,,,51,,,,,,,MRN2,,,,,,,,,,,,,,,,,,,,,,,,,1600,,,2111,,,,,,,,,126417,,,,,,,,2026SE110,,,,,,,,,,,,,,,,,,1817948
