tblUploadID,SurveyID,SurveyName,tblCodeID_SurveyType,SurveyAbstract,DataAccess,DataRightsHolder,DataCustodian,DataCustodianContact,TargetTaxa,PlatformClass,PlatformCode,PositionFix,HorizontalAccuracy,NominalAngleOfSearch,Methodology,NominalNoOfObservers,Comments
343,2016naturescotneatlantic,Distribution and abundance of basking sharks (Cetorhinus maximus) and minke whales (Balaenoptera acutorostrata) within the Sea of the Hebrides MPA proposal,1106,Digital aerial survey in the Sea of the Hebrides to provide baseline data on basking shark and cetacean distributions. Used by SNH to classify a new MPA. Pilot study to trial suitability of digital aerial surveys to collect marine megafuna distribution and abundance data.,Public,5368,2961,enquiries@hidefsurveying.co.uk                    ,00   ,62,,PS   ,,BL,11,0,
355,2016naturescotneatlantic_SurveyTwo,Distribution and abundance of basking sharks (Cetorhinus maximus) and minke whales (Balaenoptera acutorostrata) within the Sea of the Hebrides MPA proposal,1106,Survey two of digital aerial surveys in the Sea of the Hebrides to provide baseline data on basking shark and cetacean distributions. Used by SNH to classify a new MPA. Pilot study to trial suitability of digital aerial surveys to collect marine megafuna distribution and abundance data.,Public,5368,2961,enquiries@hidefsurveying.co.uk                    ,00   ,62,,PS   ,,BL,11,0,
572,27032013CWTScillyCrossingDS1,Cornwall Wildlife Trust Marine Megafauna Ferry surveys~ 2010-2013,1106,Effort-based Marine Megafauna surveys~ 2010-2013 conducted from ferries crossing between Isles of Scilly and Penzance,Public,Cornwall Wildlife Trust,669,erccis@cornwallwildlifetrust.org.uk               ,00   ,3Z,74X0,,,FW   ,16   ,1,
572,03042013CWTScillyCrossingDS2,Cornwall Wildlife Trust Marine Megafauna Ferry surveys~ 2010-2013,1106,Effort-based Marine Megafauna surveys~ 2010-2013 conducted from ferries crossing between Isles of Scilly and Penzance,Public,Cornwall Wildlife Trust,669,erccis@cornwallwildlifetrust.org.uk               ,00   ,3Z,74X0,,,FW   ,16   ,1,
572,10042013CWTScillyCrossingDS3,Cornwall Wildlife Trust Marine Megafauna Ferry surveys~ 2010-2013,1106,Effort-based Marine Megafauna surveys~ 2010-2013 conducted from ferries crossing between Isles of Scilly and Penzance,Public,Cornwall Wildlife Trust,669,erccis@cornwallwildlifetrust.org.uk               ,00   ,3Z,74X0,,,FW   ,16   ,1,
572,15062013CWTScillyCrossingDS14,Cornwall Wildlife Trust Marine Megafauna Ferry surveys~ 2010-2013,1106,Effort-based Marine Megafauna surveys~ 2010-2013 conducted from ferries crossing between Isles of Scilly and Penzance,Public,Cornwall Wildlife Trust,669,erccis@cornwallwildlifetrust.org.uk               ,00   ,3Z,74X0,,,FW   ,16   ,1,
572,19062013CWTScillyCrossingDS15,Cornwall Wildlife Trust Marine Megafauna Ferry surveys~ 2010-2013,1106,Effort-based Marine Megafauna surveys~ 2010-2013 conducted from ferries crossing between Isles of Scilly and Penzance,Public,Cornwall Wildlife Trust,669,erccis@cornwallwildlifetrust.org.uk               ,00   ,3Z,74X0,,,FW   ,16   ,1,
572,21062013CWTScillyCrossingDS16,Cornwall Wildlife Trust Marine Megafauna Ferry surveys~ 2010-2013,1106,Effort-based Marine Megafauna surveys~ 2010-2013 conducted from ferries crossing between Isles of Scilly and Penzance,Public,Cornwall Wildlife Trust,669,erccis@cornwallwildlifetrust.org.uk               ,00   ,3Z,74X0,,,FW   ,16   ,1,
572,19102012CWTScillyCrossingDS1290,Cornwall Wildlife Trust Marine Megafauna Ferry surveys~ 2010-2013,1106,Effort-based Marine Megafauna surveys~ 2010-2013 conducted from ferries crossing between Isles of Scilly and Penzance,Public,Cornwall Wildlife Trust,669,erccis@cornwallwildlifetrust.org.uk               ,00   ,3Z,74X0,,,FW   ,16   ,1,
572,24102012CWTScillyCrossingDS1293,Cornwall Wildlife Trust Marine Megafauna Ferry surveys~ 2010-2013,1106,Effort-based Marine Megafauna surveys~ 2010-2013 conducted from ferries crossing between Isles of Scilly and Penzance,Public,Cornwall Wildlife Trust,669,erccis@cornwallwildlifetrust.org.uk               ,00   ,3Z,74X0,,,FW   ,16   ,1,
